date,ride_type,route,time,distance,avg_speed,max_speed,avg_cadence,max_cadence,avg_heart_rate,max_heart_rate,brpm_avg,brpm_max,elavation_gain,avg_power,max_power,ftp,total_work_kj,load,calories_burned
10/1/2022,ROAD_CYCLING,ZUBE_GROUP,1:54:52,29,15,21,0,0,77,106,0,0,331,87,0,0,0,0,1424
10/1/2022,ROAD_CYCLING,DJP,2:15:31,32,14,26,0,0,147,175,0,0,620,84,0,0,0,0,1330
10/9/2022,ROAD_CYCLING,SUN_SKI,1:52:20,30,16,23,0,0,158,179,0,0,354,108,0,0,0,0,1483
10/13/2022,STATIONARY_BIKE,NA,0:45:01,13,0,0,0,0,140,163,0,0,0,0,0,0,0,0,459
10/15/2022,ROAD_CYCLING,ZUBE_STOKES,2:49:06,42,15,24,78,107,156,175,36,46,512,88,0,0,889,0,2096
10/18/2022,TRAINER,BARCELONA,0:52:11,13,15,20,89,104,159,171,38,44,407,103,134,0,332,31,321
10/19/2022,TRAINER,AMSTERDAM,1:16:38,21,17,22,95,114,164,175,0,0,157,102,218,0,472,101,471
10/22/2022,ROAD_CYCLING,ZUBE_STOKES,2:41:32,43,16,24,80,137,155,175,36,44,577,90,529,200,913,365,1163
10/23/2022,TRAINER,MILANO,0:30:21,9,19,24,100,113,163,181,0,0,75,133,274,200,243,50,242
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
date,weight,avg_weight,bmi,body_fat,muscle_mass,bone_mass,body_water,systolic,diastolic,heart_rate,oxygen,last_sleep,,,,,,,
10/18/2022,172,172,25,25,68,8,54,120,78,72,97,7,,,,,,,
10/19/2022,171,172,25,24,68,8,54,99,70,71,99,7,,,,,,,
10/20/2022,172,172,25,25,68,8,54,115,80,78,99,6,,,,,,,
10/21/2022,172,172,25,24,68,9,55,121,84,78,97,8,,,,,,,
10/22/2022,174,173,25,24,68,9,55,124,86,66,97,7,,,,,,,
10/23/2022,173,173,25,24,68,9,55,113,76,73,97,7,,,,,,,
10/24/2022,173,173,25,24,68,9,55,111,78,75,97,7,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
date,route,left_balance,right_balance,total_stress_score,natural_power,intensity_factor,total_strokes,,,,,,,,,,,,
10/22/2022,ZUBE_STOKES,60,40,84,109,0.546,11691,,,,,,,,,,,,
10/23/2022,MILANO,65,35,13,104,0.519,3036,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
date,route,ride_type,distance,avg_speed,weight,bmi,last_sleep,LB,RB,total_strokes,,,,,,,,,
10/22/2022,ZUBE_STOKES,ROAD_CYCLING,43,16,174,25,7,60,40,11691,,,,,,,,,
10/23/2022,MILANO,TRAINER,9,19,173,25,7,65,35,3036,,,,,,,,,
