DATE,ROUTE,LEFT BALANCE,RIGHT BALANCE,TSS,NP,IF,TOTAL STROKES
11/3/2022,Amsterdam,49,51,43.3,125,0.627,6125
11/5/2022,Zube_Stoke,57,43,190.4,161,0.805,13575
11/6/2022,DJP,51,49,74.3,121,0.605,7799
11/10/2022,DJP,51,49,117.1,150,0.748,9704
11/12/2022,Bayou,52,48,73.3,134,0.671,6587
11/16/2022,Barcelona,73,27,109.1,233,1.163,4670
11/18/2022,DJP,68,32,277.7,224,1.12,9708
11/23/2022,DJP,68,32,243,202,1.012,9200
11/27/2022,Bridgeland,65,35,86,218,1.092,2861
11/30/2022,Amsterdam,71,29,68.9,236,1.182,2841
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
