DATE,RIDE TYPE,ROUTE,TIME,DISTANCE,AVG SPEED,MAX SPEED,AVG CADENCE,MAX CADENCE,AVG HR,MAX HR,BRPM(AVG),BRPM(MAX),ELAVATION GAIN,AVG POWER,MAX POWER,FTP,TOTAL WORK KJ,LOAD,CALORIES BURNED
11/3/2022,TRAINER,Amsterdam,1:06:29,21.72,19.6,24.3,93,146,171,179,40,45,157,121,432,200,575,93,575
11/5/2022,ROAD,Zube Stokes,2:48:57,43.5,15.5,26.1,85,114,165,183,38,46,528,142,642,200,1508,279,1762
11/6/2022,ROAD,DJP,1:57:23,27.11,13.9,24.1,75,123,146,170,32,40,551.2,99,671,200,723,103,953
11/10/2022,ROAD,DJP,2:06:16,33.01,15.57,26.7,86,130,170,179,38,45,649.6,134,580,200,1016,587,1186
11/12/2022,ROAD,BAYOU,1:38:12,23.11,14.2,25.5,75,119,146,167,30,41,653,107,618,200,632,239,764
11/16/2022,TRAINER,Barcelona,0:49:23,13.06,15.9,28.8,93,115,116,179,37,41,407,229,689,200,671,330,401
11/18/2022,ROAD,DJP,2:08:03,33.28,15.6,24.8,88,129,168,180,38,43,676,200,633,200,1595,1099,1777
11/23/2022,ROAD,DJP,2:13:36,33.36,15,25.1,79,140,162,175,36,43,686,170,753,200,1461,832,1684
11/27/2022,ROAD,Bridgeland,0:43:53,10.38,14.1,23.9,82,132,156,181,34,41,112,188,812,200,493,365,552
11/30/2022,TRAINER,Amsterdam,0:30:21,9.3,18.4,21.6,94,118,166,176,37,42,26,233,415,200,270,207,270
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
